oral_event_id,title,oral_url
71031,Benchmarking at the Edge of Comprehension,https://icml.cc/virtual/2026/oral/71031
71039,DiScoFormer: Plug-In Density and Score Estimation with Transformers,https://icml.cc/virtual/2026/oral/71039
71027,Do We Need Adam? Surprisingly Strong and Sparse Reinforcement Learning with SGD in LLMs,https://icml.cc/virtual/2026/oral/71027
71043,"Position: Don't Just ""Fix it in Post'': A Science of AI Must Study Learning Dynamics",https://icml.cc/virtual/2026/oral/71043
71051,Asymmetric Perturbation in Solving Bilinear Saddle-Point Optimization,https://icml.cc/virtual/2026/oral/71051
71047,Are VLMs Seeing or Just Saying? Uncovering the Illusion of Visual Re-examination,https://icml.cc/virtual/2026/oral/71047
71035,dnaHNet: A Scalable and Hierarchical Foundation Model for Genomic Sequence Learning,https://icml.cc/virtual/2026/oral/71035
71044,A Systematic Study of Behavioral Cloning for Scientific Data Annotation,https://icml.cc/virtual/2026/oral/71044
71048,CLEAR: Context-Aware Learning with End-to-End Mask-Free Inference for Adaptive Subtitle Removal,https://icml.cc/virtual/2026/oral/71048
71036,FLIP2: Expanding Protein Fitness Landscape Benchmarks for Real-World Machine Learning Applications,https://icml.cc/virtual/2026/oral/71036
71028,Learning Unmasking Policies for Diffusion Language Models,https://icml.cc/virtual/2026/oral/71028
71032,daVinci-Dev: Agent-native Mid-training for Software Engineering,https://icml.cc/virtual/2026/oral/71032
71040,LASER: Learning Active Sensing for Continuum Field Reconstruction,https://icml.cc/virtual/2026/oral/71040
71052,Mixtures Closest To A Given Measure: A Semidefinite Programming Approach,https://icml.cc/virtual/2026/oral/71052
71041,Multimodal Nested Learning for Decoupled and Coordinated Optimization,https://icml.cc/virtual/2026/oral/71041
71037,Protein Autoregressive Modeling via Multiscale Structure Generation,https://icml.cc/virtual/2026/oral/71037
71029,Less is Enough: Synthesizing Diverse Data in Feature Space of LLMs,https://icml.cc/virtual/2026/oral/71029
71049,Motion Attribution for Video Generation,https://icml.cc/virtual/2026/oral/71049
71053,On the Convergence Rate of LoRA Gradient Descent,https://icml.cc/virtual/2026/oral/71053
71045,AI Engram: In Search of Memory Traces in Artificial Intelligence,https://icml.cc/virtual/2026/oral/71045
71033,Strategic Navigation or Stochastic Search? How Agents and Humans Reason Over Document Collections,https://icml.cc/virtual/2026/oral/71033
71054,Revenue Efficiency of Correlated Equilibria in First Price Auctions,https://icml.cc/virtual/2026/oral/71054
71038,Protein Fold Classification at Scale: Benchmarking and Pretraining,https://icml.cc/virtual/2026/oral/71038
71042,Riemannian Metric Matching for Scalable Geometric Modeling of Distributions,https://icml.cc/virtual/2026/oral/71042
71050,PhotoAgent: Exploratory Visual Aesthetic Planning with Large Vision Models,https://icml.cc/virtual/2026/oral/71050
71046,Guaranteed Optimal Compositional Explanations for Neurons,https://icml.cc/virtual/2026/oral/71046
71030,OPUS: Towards Efficient and Principled Data Selection in Large Language Model Pre-training in Every Iteration,https://icml.cc/virtual/2026/oral/71030
71034,VenusBench-Mobile: A Challenging and User-Centric Benchmark for Mobile GUI Agents with Capability Diagnostics,https://icml.cc/virtual/2026/oral/71034
71067,From Feasible to Practical: Pareto-Optimal Synthesis Planning,https://icml.cc/virtual/2026/oral/71067
71079,Diffract: Spectral View of LLM Domain Adaptation,https://icml.cc/virtual/2026/oral/71079
71071,Chebyshev Policies and the Mountain Car Problem: Reinforcement Learning for Low-dimensional Control Tasks,https://icml.cc/virtual/2026/oral/71071
71059,Don't Force the Fit: Bounded Log-Likelihood Loss for Enhanced Reasoning in Large Language Models,https://icml.cc/virtual/2026/oral/71059
71075,Learning Human-Robot Collaboration via Heterogeneous-Agent Lyapunov Policy Optimization,https://icml.cc/virtual/2026/oral/71075
71063,Position: Anthropomorphic Misalignment Research Needs Stronger Evidence,https://icml.cc/virtual/2026/oral/71063
71055,Controlled LLM Training on Spectral Sphere,https://icml.cc/virtual/2026/oral/71055
71064,Monitoring Monitorability,https://icml.cc/virtual/2026/oral/71064
71068,ReViT: Rotational-equivariant Vision Transformers for Neural PDE Solvers,https://icml.cc/virtual/2026/oral/71068
71060,Evaluating Robustness of Reasoning Models on Parameterized Logical Problems,https://icml.cc/virtual/2026/oral/71060
71072,Maximum Likelihood Reinforcement Learning,https://icml.cc/virtual/2026/oral/71072
71076,Optimal and Scalable MAPF via Multi-Marginal Optimal Transport and Schrödinger Bridges,https://icml.cc/virtual/2026/oral/71076
