event_id,title,author_count,canonical_institution_count,sector_mix,has_industry,has_academia,has_research_institute,has_industry_academia,cluster_id,cluster_label,themes,is_oral,award,public_total_votes,visits_last_7_days,canonical_institutions,authors,url
64393,TVI-CoT: Text-Visual Interleaved Chain-of-Thought Reasoning for Multimodal Understanding,4,2,Academia,False,True,False,False,4,visual / multimodal / reasoning / vision,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Multimodal, vision-language, and video",false,,15,21,"Nanyang Technological University; Nanyang Technology University, Singapore",Lianyu Hu; Xiaoyu Ma; Zeqin Liao; Yang Liu,https://icml.cc/virtual/2026/poster/64393
65214,RubricRobustness: A Simple Framework for Evaluating the Robustness of Rubrics-Based Benchmarks,1,1,Other / unknown,False,False,False,False,1,language / language models / llms / large language,"AI for science, health, and biology; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Safety, alignment, governance, and risk",false,,0,0,Scale AI,Manasi Sharma,https://icml.cc/virtual/2026/poster/65214
64134,SAQNN: Spectral Adaptive Quantum Neural Network as a Universal Approximator,3,1,Research institute,False,False,True,False,22,gradient / networks / optimization / neural networks,"Interpretability and mechanistic analysis; RL for LLMs and verifiable rewards; Theory, optimization, and sampling",false,,3,3,Chinese Academy of Sciences,Jialiang Tang; Jialin Zhang; Xiaoming Sun,https://icml.cc/virtual/2026/poster/64134
60769,ProjQ: Project-and-Quantize for Adapter-Aware LLM Compression,5,3,Academia; Other / unknown,False,True,False,False,12,tuning / fine tuning / fine / lora,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Systems, efficiency, and compression",false,,3,0,"Central South University; Khalifa University of Science, Technology and Research; Université de Lorraine",Wenya Yu; Chao Zhang; Li Wang; Samson Lasaulce; Merouane DEBBAH,https://icml.cc/virtual/2026/poster/60769
65893,SafeSearch: Automated Red-Teaming of LLM-Based Search Agents,9,4,Academia; Industry,True,True,False,True,2,attacks / attack / safety / adversarial,"Agents, tools, and computer use; Memorization, evaluation, and generalization; Safety, alignment, governance, and risk",false,,13,10,ByteDance; Nanyang Technological University; Peking University; Tsinghua University,Jianshuo Dong; Sheng Guo; Hao Wang; Xun Chen; Zhuotao Liu; Tianwei Zhang; Ke Xu; Minlie Huang; Han Qiu,https://icml.cc/virtual/2026/poster/65893
66626,SpreadsheetArena: Decomposing Preference in LLM Generation of Spreadsheet Workbooks,8,7,Academia; Other / unknown,False,True,False,False,1,language / language models / llms / large language,"Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards",false,,0,4,Carnegie Mellon University; ETH Zurich; Longitude Labs Inc; Longitude Labs Inc.; Meridian; Scale AI; Stanford University,Srivatsa Kundurthy; Clara Na; Michael Handley; Zach Kirshner; Chen Bo Calvin Zhang; Manasi Sharma; Emma Strubell; John Ling,https://icml.cc/virtual/2026/poster/66626
62616,SCRWKV: Ultra-Compact Structure-Calibrated Vision-RWKV for Topological Crack Segmentation,6,1,Academia,False,True,False,False,10,3d / vision / applications computer / computer vision,"Agents, tools, and computer use; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; Systems, efficiency, and compression",false,,2,1,Tianjin University of Technology,Hanxu Zhang; Chen Jia; Hui Liu; Xu Cheng; Fan Shi; Shengyong Chen,https://icml.cc/virtual/2026/poster/62616
67185,"Position: Generative Engine Optimization Creates Underexamined Risks, Governance Must Target Concentration, Disclosure, and Academic Blind Spots",6,5,Academia; Industry,True,True,False,True,28,position / ai / position paper / argues,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Safety, alignment, governance, and risk; Theory, optimization, and sampling",false,,0,0,ByteDance; Indiana University Bloomington; Michigan State University; University of Hawaii; University of Hawaii System,Yizhu Wen; Nan Zhang; Haohan Yuan; Xun Chen; Haopeng Zhang; Hanqing Guo,https://icml.cc/virtual/2026/poster/67185
64846,A robust PPG foundation model using multimodal physiological supervision,7,6,Academia; Other / unknown,False,True,False,False,17,representation / machine learning / machine / general,"AI for science, health, and biology; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; Safety, alignment, governance, and risk",false,,4,2,Dolby; Dolby Laboratories; Dolby Labs; Georgia Tech; TReNDS; dolby,Eloy Geenjaar; Vince Calhoun; scott daly; Gouthaman KV; Lie Lu; Trisha Mittal; Daniel P. Darcy,https://icml.cc/virtual/2026/poster/64846
61057,Flat Minima and Generalization: Insights from Stochastic Convex Optimization,3,2,Academia; Industry,True,True,False,True,22,gradient / networks / optimization / neural networks,"Interpretability and mechanistic analysis; Memorization, evaluation, and generalization; Safety, alignment, governance, and risk; Theory, optimization, and sampling",false,,8,1,Google; Tel Aviv University,Matan Schliserman; Shira Vansover-Hager; Tomer Koren,https://icml.cc/virtual/2026/poster/61057
