event_id,title,area,subarea,semantic_cluster_id,semantic_cluster_label,taxonomy_confidence,review_status,topic_group,topic,themes,is_oral,award,public_total_votes,visits_last_7_days,github_url,artifact_confidence,url,alphaxiv_url
65255,Universal Learning of Nonlinear Dynamics,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",13,dynamics / networks / latent / dynamical,medium,needs_review,Unknown,,"Theory, optimization, and sampling",false,,30,1,https://github.com/conancarrow/Lusch,github_url_no_stars,https://icml.cc/virtual/2026/poster/65255,https://www.alphaxiv.org/abs/2508.11990
65108,Robust Filter Attention: Self-Attention as a Parallel State Estimator,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",13,dynamics / networks / latent / dynamical,medium,needs_review,Deep Learning,Deep Learning->Attention Mechanisms,"Diffusion, flow, and generative modeling; LLM reasoning and test-time compute",false,,18,1,https://github.com/Aryia-Behroziuan/neurons,github_url_with_stars,https://icml.cc/virtual/2026/poster/65108,https://www.alphaxiv.org/abs/2509.04154
63447,"The Geometric Mechanics of Contrastive Representation Learning: Alignment Potentials, Entropic Dispersion, and Cross-Modal Divergence","AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",13,dynamics / networks / latent / dynamical,medium,needs_review,Deep Learning,Deep Learning->Theory,"Multimodal, vision-language, and video; Safety, alignment, governance, and risk; Theory, optimization, and sampling",false,,18,0,https://github.com/YichaoCai1/InfoNCE_Geometry,github_url_with_stars,https://icml.cc/virtual/2026/poster/63447,https://www.alphaxiv.org/abs/2601.19597
60782,A Solvable High-Dimensional Model Where Nonlinear Autoencoders Learn Structure Invisible to PCA While Test Loss Misaligns With Generalization,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",13,dynamics / networks / latent / dynamical,medium,needs_review,Deep Learning,Deep Learning->Theory,"Memorization, evaluation, and generalization; Safety, alignment, governance, and risk; Theory, optimization, and sampling",false,,15,0,https://github.com/SPOC-group/advantage_nonlinearity,github_url_no_stars,https://icml.cc/virtual/2026/poster/60782,https://www.alphaxiv.org/abs/2602.10680
61686,A unified theory of feature learning in RNNs and DNNs,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",13,dynamics / networks / latent / dynamical,medium,needs_review,Deep Learning,Deep Learning->Theory,"Memorization, evaluation, and generalization; Safety, alignment, governance, and risk; Theory, optimization, and sampling",false,,14,6,,no_github_url,https://icml.cc/virtual/2026/poster/61686,https://www.alphaxiv.org/abs/2602.15593
60506,Towards Spectroscopy: Susceptibility Clusters in Language Models,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",13,dynamics / networks / latent / dynamical,medium,needs_review,Unknown,,Interpretability and mechanistic analysis; LLM reasoning and test-time compute,false,,12,3,,no_github_url,https://icml.cc/virtual/2026/poster/60506,https://www.alphaxiv.org/abs/2601.12703
63938,Finite-Width Neural Tangent Kernels from Feynman Diagrams,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",13,dynamics / networks / latent / dynamical,medium,needs_review,Deep Learning,Deep Learning->Theory,"Interpretability and mechanistic analysis; Theory, optimization, and sampling",false,,10,0,,no_github_url,https://icml.cc/virtual/2026/poster/63938,https://www.alphaxiv.org/abs/2508.11522
61282,The Entropic Signature of Class Speciation in Diffusion Models,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",13,dynamics / networks / latent / dynamical,medium,needs_review,Deep Learning,Deep Learning->Theory,"AI for science, health, and biology; Agents, tools, and computer use; Diffusion, flow, and generative modeling; Systems, efficiency, and compression; Theory, optimization, and sampling",false,,10,1,,no_github_url,https://icml.cc/virtual/2026/poster/61282,https://www.alphaxiv.org/abs/2602.09651
65403,Balancing Fidelity and Diversity in Diffusion Models via Symmetric Attention Decomposition: Hopfield Perspective,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",13,dynamics / networks / latent / dynamical,medium,needs_review,Deep Learning,Deep Learning->Attention Mechanisms,"Diffusion, flow, and generative modeling; LLM reasoning and test-time compute",false,,9,2,https://github.com/hyeon-cho/Attention-Symmetric-Decomposition,github_url_with_stars,https://icml.cc/virtual/2026/poster/65403,https://www.alphaxiv.org/abs/2605.27476
63634,Orthogonal Concept Erasure for Diffusion Models,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",13,dynamics / networks / latent / dynamical,medium,needs_review,Social Aspects,Social Aspects->Safety,"AI for science, health, and biology; Diffusion, flow, and generative modeling; Safety, alignment, governance, and risk; Systems, efficiency, and compression",true,,9,19,https://github.com/HansSunY/OCE,github_url_with_stars,https://icml.cc/virtual/2026/poster/63634,https://www.alphaxiv.org/abs/2605.28902
65431,Unfolded Laplacian Spectral Embedding: A Theoretically Grounded Approach to Dynamic Network Representation,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",13,dynamics / networks / latent / dynamical,medium,needs_review,General Machine Learning,"General Machine Learning->Sequential, Network, and Time Series Modeling","Interpretability and mechanistic analysis; Theory, optimization, and sampling",false,,9,3,https://github.com/hisanor013/ULSE,github_url_with_stars,https://icml.cc/virtual/2026/poster/65431,https://www.alphaxiv.org/abs/2508.12674
68797,Early Directional Convergence in Deep Homogeneous Neural Networks for Small Initializations,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",13,dynamics / networks / latent / dynamical,medium,needs_review,Deep Learning,Deep Learning->Theory,"Interpretability and mechanistic analysis; Theory, optimization, and sampling",false,,7,0,,no_github_url,https://icml.cc/virtual/2026/poster/68797,https://www.alphaxiv.org/abs/2403.08121
63823,Let EEG Models Learn EEG,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",13,dynamics / networks / latent / dynamical,medium,needs_review,Applications,"Applications->Neuroscience, Cognitive Science","AI for science, health, and biology; Diffusion, flow, and generative modeling; Memorization, evaluation, and generalization; Safety, alignment, governance, and risk",false,,7,5,https://github.com/tobisns/multi-source-eeg-signal-classification,github_url_no_stars,https://icml.cc/virtual/2026/poster/63823,https://www.alphaxiv.org/abs/2605.21280
63930,Adaptive Preconditioners Trigger Loss Spikes in Adam,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",13,dynamics / networks / latent / dynamical,medium,needs_review,Deep Learning,Deep Learning->Theory,"Interpretability and mechanistic analysis; Theory, optimization, and sampling",false,,6,12,,no_github_url,https://icml.cc/virtual/2026/poster/63930,https://www.alphaxiv.org/abs/2506.04805
60792,Dichotomy of Feature Learning and Unlearning: Fast-Slow Analysis on Neural Networks with Stochastic Gradient Descent,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",13,dynamics / networks / latent / dynamical,medium,needs_review,Theory,Theory->Deep Learning,"Interpretability and mechanistic analysis; Safety, alignment, governance, and risk; Theory, optimization, and sampling",false,,6,0,,no_github_url,https://icml.cc/virtual/2026/poster/60792,https://www.alphaxiv.org/abs/2602.07378
65650,Gradient Flow Through Diagram Expansions: Learning Regimes and Explicit Solutions,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",13,dynamics / networks / latent / dynamical,medium,needs_review,Theory,Theory->Learning Theory,"LLM reasoning and test-time compute; Theory, optimization, and sampling",false,,6,1,,no_github_url,https://icml.cc/virtual/2026/poster/65650,https://www.alphaxiv.org/abs/2602.04548
66255,Partitioning for Intrinsic Model Inversion Resistance in Collaborative Inference,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",13,dynamics / networks / latent / dynamical,medium,needs_review,Deep Learning,Deep Learning->Theory,"Interpretability and mechanistic analysis; Theory, optimization, and sampling",false,,6,0,,no_github_url,https://icml.cc/virtual/2026/poster/66255,https://www.alphaxiv.org/abs/2506.15412
62570,Ubiquity of Homeostatic Hebbian Dynamics in Regularized Learning,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",13,dynamics / networks / latent / dynamical,medium,needs_review,Deep Learning,Deep Learning->Theory,"Agents, tools, and computer use; Interpretability and mechanistic analysis; Safety, alignment, governance, and risk; Systems, efficiency, and compression; Theory, optimization, and sampling",false,,6,1,,no_github_url,https://icml.cc/virtual/2026/poster/62570,https://www.alphaxiv.org/abs/2505.18069
64045,A Fourier perspective on the learning dynamics of neural networks: from sample complexities to mechanistic insights,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",13,dynamics / networks / latent / dynamical,medium,needs_review,Deep Learning,Deep Learning->Theory,"Agents, tools, and computer use; Interpretability and mechanistic analysis; Multimodal, vision-language, and video; Safety, alignment, governance, and risk; Theory, optimization, and sampling",false,,5,0,,no_github_url,https://icml.cc/virtual/2026/poster/64045,https://www.alphaxiv.org/abs/2605.16913
66282,Equilibrium Propagation for Non-Conservative Systems,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",13,dynamics / networks / latent / dynamical,medium,needs_review,Theory,Theory->Everything Else,"AI for science, health, and biology; Theory, optimization, and sampling",false,,5,8,,no_github_url,https://icml.cc/virtual/2026/poster/66282,https://www.alphaxiv.org/abs/2602.03670
66606,Maximum-Likelihood Learning of Latent Dynamics Without Reconstruction,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",13,dynamics / networks / latent / dynamical,medium,needs_review,Probabilistic Methods,Probabilistic Methods->Graphical Models,"Multimodal, vision-language, and video; Theory, optimization, and sampling",false,,5,16,,no_github_url,https://icml.cc/virtual/2026/poster/66606,https://www.alphaxiv.org/abs/2505.23569
63991,Credit Assignment via Neural Manifold Noise Correlation,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",13,dynamics / networks / latent / dynamical,medium,needs_review,Applications,"Applications->Neuroscience, Cognitive Science","AI for science, health, and biology; Interpretability and mechanistic analysis; Multimodal, vision-language, and video; RL for LLMs and verifiable rewards; Systems, efficiency, and compression",false,,4,1,,no_github_url,https://icml.cc/virtual/2026/poster/63991,https://www.alphaxiv.org/abs/2601.02636
65116,Dynamics of neural scaling laws in random feature regression with powerlaw-distributed kernel eigenvalues,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",13,dynamics / networks / latent / dynamical,medium,needs_review,Theory,Theory->Deep Learning,"AI for science, health, and biology; Agents, tools, and computer use; Interpretability and mechanistic analysis; Memorization, evaluation, and generalization; Theory, optimization, and sampling",false,,4,3,,no_github_url,https://icml.cc/virtual/2026/poster/65116,https://www.alphaxiv.org/abs/2602.23039
66539,Why Deep Jacobian Spectra Separate: Depth-Induced Scaling and Singular-Vector Alignment,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",13,dynamics / networks / latent / dynamical,medium,needs_review,Theory,Theory->Deep Learning,"Diffusion language models; Interpretability and mechanistic analysis; RL for LLMs and verifiable rewards; Safety, alignment, governance, and risk; Theory, optimization, and sampling",false,,4,2,,no_github_url,https://icml.cc/virtual/2026/poster/66539,https://www.alphaxiv.org/abs/2602.12384
64865,Beyond Point-wise Neural Collapse: A Topology-Aware Hierarchical Classifier for Class-Incremental Learning,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",13,dynamics / networks / latent / dynamical,medium,needs_review,General Machine Learning,"General Machine Learning->Transfer, Multitask and Meta-learning","RL for LLMs and verifiable rewards; Safety, alignment, governance, and risk; Theory, optimization, and sampling",false,,3,4,https://github.com/yhyet/HC_SOINN,github_url_with_stars,https://icml.cc/virtual/2026/poster/64865,https://www.alphaxiv.org/abs/2605.11904
64781,Continuous-Time Piecewise-Linear Recurrent Neural Networks,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",13,dynamics / networks / latent / dynamical,medium,needs_review,Deep Learning,"Deep Learning->Sequential Models, Time series","AI for science, health, and biology; Interpretability and mechanistic analysis; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Theory, optimization, and sampling",false,,3,0,,no_github_url,https://icml.cc/virtual/2026/poster/64781,https://www.alphaxiv.org/abs/2602.15649
