event_id,title,topic_group,topic,themes,cluster_id,cluster_label,audience_paths,is_oral,award,public_total_votes,visits_last_7_days,github_url,github_repo,github_stars,has_github_url,artifact_confidence,needs_manual_check_reason,alphaxiv_url,icml_url
66675,When RL Meets Adaptive Speculative Training:  A Unified Training-Serving System,Other,,"Diffusion, flow, and generative modeling; LLM reasoning and test-time compute; RL for LLMs and verifiable rewards; Systems, efficiency, and compression; Theory, optimization, and sampling",21,quantization / kv / memory / cache,,false,,17,2,https://github.com/sgl-project/sglang,sgl-project/sglang,30219,true,github_url_with_stars,,https://www.alphaxiv.org/abs/2602.06932,https://icml.cc/virtual/2026/poster/66675
60982,From geometry to dynamics: Learning overdamped Langevin dynamics from sparse observations with geometric constraints,General Machine Learning,"General Machine Learning->Sequential, Network, and Time Series Modeling","AI for science, health, and biology; Agents, tools, and computer use; Memorization, evaluation, and generalization; Safety, alignment, governance, and risk",18,time series / series / time / forecasting,,false,,2,1,https://github.com/academicpages/academicpages.github.io,academicpages/academicpages.github.io,17294,true,needs_manual_check,template_or_index_like_url,https://www.alphaxiv.org/abs/2512.23566,https://icml.cc/virtual/2026/poster/60982
61382,Vision-aligned Latent Reasoning for Multi-Modal Large Language Model,Deep Learning,Deep Learning->Large Language Models,"Agents, tools, and computer use; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Multimodal, vision-language, and video",4,visual / multimodal / reasoning / vision,,false,,56,29,https://github.com/awesome-NeRF/awesome-NeRF,awesome-NeRF/awesome-NeRF,6773,true,needs_manual_check,template_or_index_like_url,https://www.alphaxiv.org/abs/2602.04476,https://icml.cc/virtual/2026/poster/61382
65206,PaperBanana: Automating Academic Illustration for AI Scientists,Deep Learning,Deep Learning->Large Language Models,"Agents, tools, and computer use; Diffusion, flow, and generative modeling; LLM reasoning and test-time compute; Multimodal, vision-language, and video",20,code / anonymous / 4open science / 4open,,false,,420,123,https://github.com/dwzhu-pku/PaperBanana,dwzhu-pku/PaperBanana,6765,true,github_url_with_stars,,https://www.alphaxiv.org/abs/2601.23265,https://icml.cc/virtual/2026/poster/65206
64301,DFlash: Block Diffusion for Flash Speculative Decoding,Deep Learning,Deep Learning->Large Language Models,"Diffusion language models; Diffusion, flow, and generative modeling; LLM reasoning and test-time compute",21,quantization / kv / memory / cache,,false,,153,272,https://github.com/z-lab/dflash,z-lab/dflash,5451,true,github_url_with_stars,,https://www.alphaxiv.org/abs/2602.06036,https://icml.cc/virtual/2026/poster/64301
66596,From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model,Applications,Applications->Robotics,"Causality and data-centric ML; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; Robotics and world models; Safety, alignment, governance, and risk; Systems, efficiency, and compression",19,action / vla / language action / vision language,Multimodal and Robotics Researcher,true,,14,39,https://github.com/eliahuhorwitz/Academic-project-page-template,eliahuhorwitz/Academic-project-page-template,5069,true,needs_manual_check,template_or_index_like_url,https://www.alphaxiv.org/abs/2605.22671,https://icml.cc/virtual/2026/poster/66596
60814,Self-Prompting Diffusion Transformer for Open-Vocabulary Scene Text Edit via In-Context Learning,Applications,Applications->Computer Vision,"Diffusion, flow, and generative modeling; Multimodal, vision-language, and video; Systems, efficiency, and compression",10,3d / vision / applications computer / computer vision,,false,,6,1,https://github.com/eliahuhorwitz/Academic-project-page-template,eliahuhorwitz/Academic-project-page-template,5069,true,needs_manual_check,template_or_index_like_url,https://www.alphaxiv.org/abs/2605.15523,https://icml.cc/virtual/2026/poster/60814
61887,LaST$_{0}$: Latent Spatio-Temporal Chain-of-Thought for Robotic Vision-Language-Action Model,Applications,Applications->Robotics,"Agents, tools, and computer use; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; Robotics and world models",19,action / vla / language action / vision language,Multimodal and Robotics Researcher,false,,73,25,https://github.com/eliahuhorwitz/Academic-project-page-template,eliahuhorwitz/Academic-project-page-template,5063,true,needs_manual_check,template_or_index_like_url,https://www.alphaxiv.org/abs/2601.05248,https://icml.cc/virtual/2026/poster/61887
61357,Hydra-Nav: Object Navigation via Adaptive Dual-Process Reasoning,Applications,Applications->Robotics,"Agents, tools, and computer use; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; Robotics and world models; Safety, alignment, governance, and risk; Systems, efficiency, and compression",19,action / vla / language action / vision language,,false,,15,3,https://github.com/eliahuhorwitz/Academic-project-page-template,eliahuhorwitz/Academic-project-page-template,5063,true,needs_manual_check,template_or_index_like_url,https://www.alphaxiv.org/abs/2602.09972,https://icml.cc/virtual/2026/poster/61357
66763,"AudioChat: Unified Audio Storytelling, Editing, and Understanding with Transfusion Forcing",Applications,"Applications->Language, Speech and Dialog","Agents, tools, and computer use; LLM reasoning and test-time compute",29,speech / audio / applications language / speech dialog,,false,,14,4,https://github.com/eliahuhorwitz/Academic-project-page-template,eliahuhorwitz/Academic-project-page-template,5063,true,needs_manual_check,template_or_index_like_url,https://www.alphaxiv.org/abs/2602.17097,https://icml.cc/virtual/2026/poster/66763
